origin,destination,distance_mi,weight_kg,pallet_count,service_level,cost_usd
Seattle WA,Portland OR,175,3200,5,0,210.1
Seattle WA,San Francisco CA,808,3200,5,0,406.66
Seattle WA,Los Angeles CA,1135,3200,5,0,509.3
Portland OR,Sacramento CA,460,3200,5,0,298.3
San Francisco CA,Los Angeles CA,381,3200,5,0,276.02
San Francisco CA,Denver CO,1250,3200,5,0,533.1
Los Angeles CA,Phoenix AZ,373,3200,5,0,270.46
Los Angeles CA,Dallas TX,1430,3200,5,0,590.7
Phoenix AZ,Denver CO,586,3200,5,0,328.62
Denver CO,Chicago IL,1002,3200,5,0,469.74
Dallas TX,Houston TX,225,3200,5,0,202.1
Dallas TX,Chicago IL,968,3200,5,0,451.86
Chicago IL,Detroit MI,283,3200,5,0,235.66
Chicago IL,Minneapolis MN,408,3200,5,0,277.66
Chicago IL,Atlanta GA,715,3200,5,0,380.9
Atlanta GA,Miami FL,662,3200,5,0,355.94
Atlanta GA,Dallas TX,781,3200,5,0,405.02
Miami FL,Jacksonville FL,350,3200,5,0,252.1
Houston TX,New Orleans LA,350,3200,5,0,239.1
New Orleans LA,Atlanta GA,470,3200,5,0,288.5
Boston MA,New York NY,215,3200,5,0,210.9
New York NY,Philadelphia PA,95,3200,5,0,174.5
Philadelphia PA,Washington DC,140,3200,5,0,178.9
Washington DC,Atlanta GA,640,3200,5,0,362.9
Detroit MI,Cleveland OH,170,3200,5,0,195.5
Minneapolis MN,Denver CO,915,3200,5,0,431.9
Salt Lake City UT,Denver CO,390,3200,5,0,277.9
Las Vegas NV,Phoenix AZ,300,3200,5,0,228.1
Seattle WA,Denver CO,1310,3200,5,0,558.3
San Diego CA,Phoenix AZ,355,3200,5,0,239.7
Seattle WA,Portland OR,175,5500,8,1,276
Seattle WA,San Francisco CA,808,5500,8,1,491.56
Seattle WA,Los Angeles CA,1135,5500,8,1,577.2
Portland OR,Sacramento CA,460,5500,8,1,364.2
San Francisco CA,Los Angeles CA,381,5500,8,1,347.92
San Francisco CA,Denver CO,1250,5500,8,1,624
Los Angeles CA,Phoenix AZ,373,5500,8,1,357.36
Los Angeles CA,Dallas TX,1430,5500,8,1,670.6
Phoenix AZ,Denver CO,586,5500,8,1,411.52
Denver CO,Chicago IL,1002,5500,8,1,547.64
Dallas TX,Houston TX,225,5500,8,1,287
Dallas TX,Chicago IL,968,5500,8,1,521.76
Chicago IL,Detroit MI,283,5500,8,1,322.56
Chicago IL,Minneapolis MN,408,5500,8,1,358.56
Chicago IL,Atlanta GA,715,5500,8,1,471.8
Atlanta GA,Miami FL,662,5500,8,1,422.84
Atlanta GA,Dallas TX,781,5500,8,1,490.92
Miami FL,Jacksonville FL,350,5500,8,1,339
Houston TX,New Orleans LA,350,5500,8,1,330
New Orleans LA,Atlanta GA,470,5500,8,1,393.4
Boston MA,New York NY,215,5500,8,1,279.8
New York NY,Philadelphia PA,95,5500,8,1,240.4
Philadelphia PA,Washington DC,140,5500,8,1,270.8
Washington DC,Atlanta GA,640,5500,8,1,432.8
Detroit MI,Cleveland OH,170,5500,8,1,269.4
Minneapolis MN,Denver CO,915,5500,8,1,534.8
Salt Lake City UT,Denver CO,390,5500,8,1,336.8
Las Vegas NV,Phoenix AZ,300,5500,8,1,314
Seattle WA,Denver CO,1310,5500,8,1,661.2
San Diego CA,Phoenix AZ,355,5500,8,1,327.6
Seattle WA,Portland OR,175,8100,12,1,376.8
Seattle WA,San Francisco CA,808,8100,12,1,559.36
Seattle WA,Los Angeles CA,1135,8100,12,1,663
Portland OR,Sacramento CA,460,8100,12,1,443
San Francisco CA,Los Angeles CA,381,8100,12,1,417.72
San Francisco CA,Denver CO,1250,8100,12,1,712.8
Los Angeles CA,Phoenix AZ,373,8100,12,1,425.16
Los Angeles CA,Dallas TX,1430,8100,12,1,762.4
Phoenix AZ,Denver CO,586,8100,12,1,489.32
Denver CO,Chicago IL,1002,8100,12,1,635.44
Dallas TX,Houston TX,225,8100,12,1,361.8
Dallas TX,Chicago IL,968,8100,12,1,600.56
Chicago IL,Detroit MI,283,8100,12,1,396.36
